01 inp w
01 mul x 0
01 add x z
01 mod x 26
01 div z 1
01 add x 11
01 eql x w
01 eql x 0
01 mul y 0
01 add y 25
01 mul y x
01 add y 1
01 mul z y
01 mul y 0
01 add y w
01 add y 6
01 mul y x
01 add z y
02 inp w
02 mul x 0
02 add x z
02 mod x 26
02 div z 1
02 add x 13
02 eql x w
02 eql x 0
02 mul y 0
02 add y 25
02 mul y x
02 add y 1
02 mul z y
02 mul y 0
02 add y w
02 add y 14
02 mul y x
02 add z y
03 inp w
03 mul x 0
03 add x z
03 mod x 26
03 div z 1
03 add x 15
03 eql x w
03 eql x 0
03 mul y 0
03 add y 25
03 mul y x
03 add y 1
03 mul z y
03 mul y 0
03 add y w
03 add y 14
03 mul y x
03 add z y
04 inp w
04 mul x 0
04 add x z
04 mod x 26
04 div z 26
04 add x -8
04 eql x w
04 eql x 0
04 mul y 0
04 add y 25
04 mul y x
04 add y 1
04 mul z y
04 mul y 0
04 add y w
04 add y 10
04 mul y x
04 add z y
05 inp w
05 mul x 0
05 add x z
05 mod x 26
05 div z 1
05 add x 13
05 eql x w
05 eql x 0
05 mul y 0
05 add y 25
05 mul y x
05 add y 1
05 mul z y
05 mul y 0
05 add y w
05 add y 9
05 mul y x
05 add z y
06 inp w
06 mul x 0
06 add x z
06 mod x 26
06 div z 1
06 add x 15
06 eql x w
06 eql x 0
06 mul y 0
06 add y 25
06 mul y x
06 add y 1
06 mul z y
06 mul y 0
06 add y w
06 add y 12
06 mul y x
06 add z y
07 inp w
07 mul x 0
07 add x z
07 mod x 26
07 div z 26
07 add x -11
07 eql x w
07 eql x 0
07 mul y 0
07 add y 25
07 mul y x
07 add y 1
07 mul z y
07 mul y 0
07 add y w
07 add y 8
07 mul y x
07 add z y
08 inp w
08 mul x 0
08 add x z
08 mod x 26
08 div z 26
08 add x -4
08 eql x w
08 eql x 0
08 mul y 0
08 add y 25
08 mul y x
08 add y 1
08 mul z y
08 mul y 0
08 add y w
08 add y 13
08 mul y x
08 add z y
09 inp w
09 mul x 0
09 add x z
09 mod x 26
09 div z 26
09 add x -15
09 eql x w
09 eql x 0
09 mul y 0
09 add y 25
09 mul y x
09 add y 1
09 mul z y
09 mul y 0
09 add y w
09 add y 12
09 mul y x
09 add z y
10 inp w
10 mul x 0
10 add x z
10 mod x 26
10 div z 1
10 add x 14
10 eql x w
10 eql x 0
10 mul y 0
10 add y 25
10 mul y x
10 add y 1
10 mul z y
10 mul y 0
10 add y w
10 add y 6
10 mul y x
10 add z y
11. inp w
11. mul x 0
11. add x z
11. mod x 26
11. div z 1
11. add x 14
11. eql x w
11. eql x 0
11. mul y 0
11. add y 25
11. mul y x
11. add y 1
11. mul z y
11. mul y 0
11. add y w
11. add y 9
11. mul y x
11. add z y
12. inp w
12. mul x 0
12. add x z
12. mod x 26
12. div z 26
12. add x -1
12. eql x w
12. eql x 0
12. mul y 0
12. add y 25
12. mul y x
12. add y 1
12. mul z y
12. mul y 0
12. add y w
12. add y 15
12. mul y x
12. add z y
13. inp w
13. mul x 0
13. add x z
13. mod x 26
13. div z 26
13. add x -8
13. eql x w
13. eql x 0
13. mul y 0
13. add y 25
13. mul y x
13. add y 1
13. mul z y
13. mul y 0
13. add y w
13. add y 4
13. mul y x
13. add z y
14. inp w
14. mul x 0
14. add x z
14. mod x 26
14. div z 26
14. add x -14
14. eql x w
14. eql x 0
14. mul y 0
14. add y 25
14. mul y x
14. add y 1
14. mul z y
14. mul y 0
14. add y w
14. add y 10
14. mul y x
14. add z y
